id,vehicle_type,confidence,timestamp
1,car,0.906,2025-12-08 15:14:04
2,car,0.841,2025-12-08 15:14:04
3,car,0.824,2025-12-08 15:14:04
4,car,0.794,2025-12-08 15:14:04
5,car,0.725,2025-12-08 15:14:04
6,truck,0.696,2025-12-08 15:14:04
7,car,0.643,2025-12-08 15:14:04
1,car,0.798,2025-12-08 15:14:04
2,car,0.797,2025-12-08 15:14:04
3,car,0.824,2025-12-08 15:14:04
4,car,0.777,2025-12-08 15:14:04
5,car,0.752,2025-12-08 15:14:04
7,car,0.615,2025-12-08 15:14:04
10,car,0.632,2025-12-08 15:14:04
11,bus,0.639,2025-12-08 15:14:04
1,car,0.806,2025-12-08 15:14:04
2,car,0.801,2025-12-08 15:14:04
3,car,0.822,2025-12-08 15:14:04
4,car,0.809,2025-12-08 15:14:04
5,car,0.742,2025-12-08 15:14:04
7,car,0.688,2025-12-08 15:14:04
10,car,0.743,2025-12-08 15:14:04
11,bus,0.773,2025-12-08 15:14:04
1,car,0.791,2025-12-08 15:14:04
2,car,0.772,2025-12-08 15:14:04
3,car,0.819,2025-12-08 15:14:04
4,car,0.774,2025-12-08 15:14:04
5,car,0.745,2025-12-08 15:14:04
6,truck,0.602,2025-12-08 15:14:04
7,car,0.727,2025-12-08 15:14:04
10,car,0.648,2025-12-08 15:14:04
1,car,0.867,2025-12-08 15:14:05
2,car,0.745,2025-12-08 15:14:05
3,car,0.769,2025-12-08 15:14:05
4,car,0.809,2025-12-08 15:14:05
5,car,0.729,2025-12-08 15:14:05
6,truck,0.655,2025-12-08 15:14:05
10,car,0.798,2025-12-08 15:14:05
4,car,0.82,2025-12-08 15:14:05
8,car,0.699,2025-12-08 15:14:05
4,car,0.88,2025-12-08 15:14:06
8,car,0.737,2025-12-08 15:14:06
18,car,0.834,2025-12-08 15:14:06
19,car,0.704,2025-12-08 15:14:06
20,car,0.632,2025-12-08 15:14:06
21,car,0.643,2025-12-08 15:14:06
23,car,0.684,2025-12-08 15:14:06
8,car,0.745,2025-12-08 15:14:06
18,car,0.789,2025-12-08 15:14:06
19,car,0.769,2025-12-08 15:14:06
20,car,0.758,2025-12-08 15:14:06
18,car,0.66,2025-12-08 15:14:06
19,car,0.719,2025-12-08 15:14:06
20,car,0.717,2025-12-08 15:14:06
19,car,0.761,2025-12-08 15:14:06
19,car,0.686,2025-12-08 15:14:07
1,car,0.758,2025-12-08 15:14:07
55,car,0.768,2025-12-08 15:14:07
57,car,0.74,2025-12-08 15:14:07
58,car,0.704,2025-12-08 15:14:07
4,car,0.758,2025-12-08 15:14:07
2,car,0.657,2025-12-08 15:14:08
10,car,0.637,2025-12-08 15:14:08
79,car,0.766,2025-12-08 15:14:08
83,car,0.66,2025-12-08 15:14:08
2,car,0.651,2025-12-08 15:14:08
10,car,0.772,2025-12-08 15:14:08
56,car,0.842,2025-12-08 15:14:08
